candidate_text,normalized_text,candidate_type,source,vertical,hit_count,confidence,status,station,company_name,domain,phone,evidence,first_seen,last_seen
wells fargo &,wells fargo &,brand,trademark_seed,,1,1.0,ready,,,,,variant=brand; src=cfpb_complaint,2026-06-11T00:20:04Z,2026-06-11T00:20:04Z
wells fargo & reviews,wells fargo & reviews,brand,trademark_seed,,1,1.0,ready,,,,,variant=reviews; src=cfpb_complaint,2026-06-11T00:20:04Z,2026-06-11T00:20:04Z
wells fargo & complaints,wells fargo & complaints,brand,trademark_seed,,1,1.0,ready,,,,,variant=complaints; src=cfpb_complaint,2026-06-11T00:20:04Z,2026-06-11T00:20:04Z
wells fargo & bbb,wells fargo & bbb,brand,trademark_seed,,1,1.0,ready,,,,,variant=bbb; src=cfpb_complaint,2026-06-11T00:20:04Z,2026-06-11T00:20:04Z
wells fargo & phone number,wells fargo & phone number,brand,trademark_seed,,1,1.0,ready,,,,,variant=phone_number; src=cfpb_complaint,2026-06-11T00:20:04Z,2026-06-11T00:20:04Z
wells fargo & alternative,wells fargo & alternative,brand,trademark_seed,,1,1.0,ready,,,,,variant=alternative; src=cfpb_complaint,2026-06-11T00:20:04Z,2026-06-11T00:20:04Z
santander holdings usa,santander holdings usa,brand,trademark_seed,,1,1.0,ready,,,,,variant=brand; src=cfpb_complaint,2026-06-11T00:20:04Z,2026-06-11T00:20:04Z
santander holdings usa reviews,santander holdings usa reviews,brand,trademark_seed,,1,1.0,ready,,,,,variant=reviews; src=cfpb_complaint,2026-06-11T00:20:04Z,2026-06-11T00:20:04Z
santander holdings usa complaints,santander holdings usa complaints,brand,trademark_seed,,1,1.0,ready,,,,,variant=complaints; src=cfpb_complaint,2026-06-11T00:20:04Z,2026-06-11T00:20:04Z
santander holdings usa bbb,santander holdings usa bbb,brand,trademark_seed,,1,1.0,ready,,,,,variant=bbb; src=cfpb_complaint,2026-06-11T00:20:04Z,2026-06-11T00:20:04Z
santander holdings usa phone number,santander holdings usa phone number,brand,trademark_seed,,1,1.0,ready,,,,,variant=phone_number; src=cfpb_complaint,2026-06-11T00:20:04Z,2026-06-11T00:20:04Z
santander holdings usa alternative,santander holdings usa alternative,brand,trademark_seed,,1,1.0,ready,,,,,variant=alternative; src=cfpb_complaint,2026-06-11T00:20:04Z,2026-06-11T00:20:04Z
jpmorgan chase &,jpmorgan chase &,brand,trademark_seed,,1,1.0,ready,,,,,variant=brand; src=cfpb_complaint,2026-06-11T00:20:04Z,2026-06-11T00:20:04Z
jpmorgan chase & reviews,jpmorgan chase & reviews,brand,trademark_seed,,1,1.0,ready,,,,,variant=reviews; src=cfpb_complaint,2026-06-11T00:20:04Z,2026-06-11T00:20:04Z
jpmorgan chase & complaints,jpmorgan chase & complaints,brand,trademark_seed,,1,1.0,ready,,,,,variant=complaints; src=cfpb_complaint,2026-06-11T00:20:04Z,2026-06-11T00:20:04Z
jpmorgan chase & bbb,jpmorgan chase & bbb,brand,trademark_seed,,1,1.0,ready,,,,,variant=bbb; src=cfpb_complaint,2026-06-11T00:20:04Z,2026-06-11T00:20:04Z
jpmorgan chase & phone number,jpmorgan chase & phone number,brand,trademark_seed,,1,1.0,ready,,,,,variant=phone_number; src=cfpb_complaint,2026-06-11T00:20:04Z,2026-06-11T00:20:04Z
jpmorgan chase & alternative,jpmorgan chase & alternative,brand,trademark_seed,,1,1.0,ready,,,,,variant=alternative; src=cfpb_complaint,2026-06-11T00:20:04Z,2026-06-11T00:20:04Z
robinhood markets,robinhood markets,brand,trademark_seed,,1,0.99,ready,,,,,variant=brand; src=cfpb_complaint,2026-06-11T00:20:04Z,2026-06-11T00:20:04Z
robinhood markets reviews,robinhood markets reviews,brand,trademark_seed,,1,0.99,ready,,,,,variant=reviews; src=cfpb_complaint,2026-06-11T00:20:04Z,2026-06-11T00:20:04Z
robinhood markets complaints,robinhood markets complaints,brand,trademark_seed,,1,0.99,ready,,,,,variant=complaints; src=cfpb_complaint,2026-06-11T00:20:04Z,2026-06-11T00:20:04Z
robinhood markets bbb,robinhood markets bbb,brand,trademark_seed,,1,0.99,ready,,,,,variant=bbb; src=cfpb_complaint,2026-06-11T00:20:04Z,2026-06-11T00:20:04Z
robinhood markets phone number,robinhood markets phone number,brand,trademark_seed,,1,0.99,ready,,,,,variant=phone_number; src=cfpb_complaint,2026-06-11T00:20:04Z,2026-06-11T00:20:04Z
robinhood markets alternative,robinhood markets alternative,brand,trademark_seed,,1,0.99,ready,,,,,variant=alternative; src=cfpb_complaint,2026-06-11T00:20:04Z,2026-06-11T00:20:04Z
paypal,paypal,brand,trademark_seed,,1,0.99,ready,,,,,variant=brand; src=cfpb_complaint,2026-06-11T00:20:04Z,2026-06-11T00:20:04Z
paypal reviews,paypal reviews,brand,trademark_seed,,1,0.99,ready,,,,,variant=reviews; src=cfpb_complaint,2026-06-11T00:20:04Z,2026-06-11T00:20:04Z
paypal complaints,paypal complaints,brand,trademark_seed,,1,0.99,ready,,,,,variant=complaints; src=cfpb_complaint,2026-06-11T00:20:04Z,2026-06-11T00:20:04Z
